obs1,obs2,hyp1,hyp2,gold_label_original,gold_label_letter,predicted_label_letter,is_correct,llm_raw_response
توقفت عن تناول الحبوب الموصوفة لأنها جعلتني مريضا.,أخبرت الطبيب أن حبوبه جعلتني مريضا لذلك توقفت عن تناولها.,ذهبت إلى الطبيب لمناقشة حبوبي.,لقد فاتني موعدي مع طبيبي.,1,أ,ب,False,ب
كان تيم يكافح في الرياضيات.,في النهاية، انتهى به الأمر إلى رسوب في الاختبار واضطر إلى إعادة الدورة.,بدلاً من طلب المساعدة، ذهب تيم إلى مباراة كرة قدم مع أصدقائه في الليلة السابقة للامتحان النهائي.,درس تيم كل ليلة.,1,أ,ب,False,ب
ذهبت الفتيات إلى حانة.,عادوا إلى المنزل وهم يتحدثون عن ليلتهم.,استمتعت الفتيات بالحانة.,قضوا وقتًا رائعًا في الرقص حتى الصباح.,1,أ,ب,False,ب
ذهبت جو إلى سطح المنزل للعمل على اسمرار بشرتها.,سمع مالك العقار طرقها فوجد جو ترتجف على السطح.,بقيت في الخارج طوال اليوم وعندما جاء الليل ذهبت إلى الداخل.,حُبست جو عن طريق الخطأ في أعلى السطح وبدأت في الطرق على الباب طلبًا للمساعدة.,2,ب,ب,True,ب
بوب متفاجئ عندما تعطلت شاحنته على الطريق السريع.,حتى أن الضابط يعطي بوب رحلة إلى شركة لتأجير السيارات.,ظن أنهما سيجدان غريبًا أنه كان في وسط الطريق.,يتوقف ضابط شرطة في الحديقة لمساعدة بوب.,1,أ,ب,False,ب
لطالما أردت أن أكون قادرًا على ركوب الدراجة ثلاثين ميلاً في المرة الواحدة.,أنا في حالة سيئة لدرجة أنني لا أستطيع حتى ركوب الدراجة لمسافة ميل واحد.,لم أكن أركب أو أتمرن على الرغم من ذلك.,لقد كنت أركب وأتمرن كل يوم.,1,أ,ب,False,ب
استيقظ يعقوب عند إشارة ضوئية حمراء.,الآن يستيقظ يعقوب فقط في سريره.,لقد نام في السيارة.,تعهد يعقوب بعدم القيادة أثناء السكر مرة أخرى.,1,أ,ب,False,ب
كانت بيلا شاحبة جدًا.,عندما غادرت، كان لون بشرتها بنيًا ذهبيًا صيفيًا!,قررت أن تأخذ إجازة ضرورية في فلوريدا.,قررت بيلا أن تقضي الصباح في صالون الأظافر.,1,أ,ب,False,ب
كاثي كانت سعيدة لأنها أصبحت لديها أخيرًا بعض الوقت للخياطة.,ضربت كاثي بأطراف أصابعها المعدنية على الطاولة في إحباط.,وضعت كاثي الطست على أصابعها.,لم تستطع كاثي إدخال الخيط في القماش.,1,أ,ب,False,ب
جديتي صنعت فطيرة الليمون الحامض.,ذهبت إلى الحمام لأبصقها.,كرهت الفطيرة.,التهمت الفطيرة.,1,أ,ب,False,ب
كان نيد بحاجة إلى السجائر - لقد نفدت تقريبًا.,اشترى لنفسه كرتونين كاملين من السجائر.,قرر نيد أن الوقت قد حان للإقلاع عن التدخين وفعل ذلك بشكل مفاجئ وبدون تهيئة مسبقة.,رأى نيد صفقة رائعة في نادي الجملة.,2,ب,ب,True,ب
كان أصدقائي يأخذونني إلى تسلق الصخور.,في اليوم التالي ، ذهبت إلى جدار الصخرة الحقيقي وتسلقته بشكل جيد جدا.,أرادوا أن يبدأوا بجدار صخري حقيقي للممارسة أولاً.,ذهبنا إلى صالة الألعاب الرياضية لممارسة الرياضة على جدار مزيف.,2,ب,ب,True,ب
ذهبت إلى الشاطئ الصيف الماضي لمحاولة الحصول على سمرة.,استيقظت مع حروق شمس شديدة على كل جسدي.,نمت ولم أضع المزيد من واقي الشمس.,نمت في الظل.,1,أ,ب,False,ب
لم تكن كيلي متحمسة للذهاب إلى سيفورا لأول مرة لشراء المكياج.,بحلول الوقت الذي غادرت فيه المتجر ، كانت كيلي تحمل حوالي 12 حقيبة مختلفة ممتلئة,عرفت السيدة التي تبيع أن كيلي ستكون عملية بيع سهلة.,لم تصدق كم الخيارات القليلة التي كانت لديها.,1,أ,ب,False,ب
التلفزيون شيء مخيف.,صنعت شطيرة لتلبية رغبتي.,جعلتني إحدى الإعلانات اشتاق إلى الشطيرة.,شاهدت عرضًا عن أشياء مخيفة موجودة حول العالم.,1,أ,ب,False,ب
في يوم من الأيام اشترى آدم بندقيتين من نوع بي بي.,كان آدم فخورًا جدًا بكريستيان.,أطلق كريستيان النار على آدم بالبندقية.,أعطى آدم واحدة لكريستيان.,2,ب,ب,True,ب
حضرنا حفل هالوين,أُصيب المضيف بالذهول.,تقدم صديق المضيف لخطبتها أمام الجميع.,شرب المضيف أكثر من اللازم وغازل شخصًا ليس زوجته.,2,ب,ب,True,ب
اجتمع كل فرد من عائلتي معًا لعيد الشكر.,لقد قضينا وقتًا ممتعًا.,سافر الناس من جميع أنحاء الولاية.,كان الجميع غاضبين ولم يأكلوا.,1,أ,ب,False,ب
كان جو يحب لحيته.,قرر أن يحلقها وحصل على وظيفة على الفور.,كان جو يواجه صعوبة في اختيار وظيفة.,لم يستطع جو أن يُقبل في وظيفة لأنه كان يبدو غير محترف بسبب لحيته.,2,ب,ب,True,ب
قرر بن أن يكرم نفسه بفنجان قهوة.,كان بن محبطًا من الرسوم الإضافية.,تم احتساب رسوم إضافية على بن مقابل كوب.,فرض العامل عليه ضعف المبلغ.,2,ب,ب,True,ب
تخرج جو مؤخرًا من الكلية.,كان عليه أن يحصل على وظيفة بدوام جزئي لتوصيل البيتزا لإعالة نفسه.,جو لديه مال.,سوق العمل كان سيئًا.,2,ب,ب,True,ب
كان آل يحب الموسيقى الحزينة.,وما إن رأى دميعة حتى طلب منها أن تكون زوجته.,رأى آل امرأة في متجر البقالة وهي تبكي عندما بُثت أغنية حزينة عبر نظام مخاطبة الجمهور.,بكت صديقة آل أثناء أغنية حزينة.,2,ب,ب,True,ب
كرهت لويس الرياضيات.,كانت مخطئة وتركت الدراسة في غضون شهر.,تحدت لويس نفسها بالتسجيل في فصل الرياضيات.,ظنت لويس أن تقديم الدروس الخصوصية سيقتُلها.,1,أ,ب,False,ب
كنت أسير إلى المنزل.,أثار المطر شعوري بالاكتئاب أكثر.,كان يومًا مشمسًا.,كنت مكتئبًا لأن صديقتي تركتني. في منتصف الطريق أثناء سيري، بدأ المطر في الهطول.,2,ب,ب,True,ب
ألكس كانت تحتاج إلى البقالة.,اشترت ألكس يختًا.,رأت إعلانًا عن سيارة في المتجر.,قررت الذهاب إلى متجر والنظر إلى القوارب في طريقها للتسوق.,2,ب,ب,True,ب
أردت حيوانًا أليفًا لعيد ميلادي.,قمت بقيادة السيارة إلى المنزل مع الخنزير المصغر في سيارتي.,أعطاني والدي خفاشًا بدلاً من ذلك.,ذهبت لشراء حيوان أليف غريب مع والدي.,2,ب,ب,True,ب
أخبر المعلم ديانا أنها راسبة في الفصل.,انتهى بها الأمر مع 33 في الامتحان.,قررت ديانا الدراسة مع أصدقائها بدلاً من الخروج.,قررت ديانا أنها لا تهتم ولم تدرس للامتحان.,2,ب,ب,True,ب
كانت هناك عائلتان قويتان.,انتهى الأمر بعائلة لانس بالفوز في الحرب والسيطرة عليها.,فازت عائلة فونكل في كل معركة، عامًا بعد عام.,كان للعائلتين نزاع.,2,ب,ب,True,ب
كان مايرون الشاب معتادًا على أن يكون محور حياة والديه.,أدرك مايرون أن هناك أجزاء جيدة ليكون أخًا أكبر سنًا أيضًا.,لم يكن مايرون سعيدًا لأن والديه كانا ينتظران طفلًا.,في أحد الأيام ، قال والدا مايرون إن كنبة جديدة في طريقها.,1,أ,ب,False,ب
استيقظت إيمي لترى الشمس مشرقة بضوء ساطع في الخريف.,أحبّت إيمي ذلك اليوم الخريفي الجميل الذي كان يشبه الصيف.,قضت إيمي يومها في الخارج في الطقس الجميل.,بقيت إيمي في المنزل طوال اليوم.,1,أ,ب,False,ب
كانت تيري تمر بقضية كبيرة.,لم يتنازل أبدا.,أراد تيري وزوجته نفس الطلاء لمنزلهم.,وقف تيري بقوة على آرائه.,2,ب,ب,True,ب
كان كوينتون على وشك الطرد من شقته.,شعر كوينتون بالاكتئاب.,قام كوينتون بتعبئة حقائبه وبدأ في البحث عن مكان جديد.,لم يستطع كوينتون العثور على شقة أخرى ينتقل إليها.,2,ب,ب,True,ب
استأجر آدم خادمة لتنظيف منزله.,فصلت الوكالة اللص على الفور.,سرقت الخادمة أدواته الفضية من المنزل.,في ذلك اليوم سُرق منزل آدم من قبل الجار.,1,أ,ب,False,ب
والدا ديف يملكان مطعمًا.,قرروا إغلاق العمل.,إنهم يحصلون على المزيد من الزبائن.,لم يعد مطعم ديف يعمل بشكل جيد.,2,ب,ب,True,ب
كان روبي يكافح من أجل مسك قلمه بشكل صحيح.,كان روبي ومعلمه ووالدته متحمسين للغاية عندما نجح الأمر!,أخيرًا تمكن روبي من فعلها بشكل صحيح.,لم يعرفوا كيفية مساعدته على الإمساك بالقلم بسهولة أكبر.,1,أ,ب,False,ب
كان جيد يصنع يخنة.,ندم جيد على عدم اكتفائه بكوب من حبوب الإفطار.,أكل بعض حبوب الإفطار في غضون ذلك.,أحرق جيد اليخنة.,2,ب,ب,True,ب
نامت آني عن غير قصد.,نظرًا لأنها لم يكن لديها الوقت ، انتهى بها الأمر إلى أن تبدو متشابكة للغاية.,كان على آني أن تقفز وتتسرع إلى الفصل قبل أن تتأخر.,أخذت وقتها في تفريش شعرها في تلك الليلة.,1,أ,ب,False,ب
كان نيك على علاقة مع جيس.,لذا قرر نيك أن يخطبها.,كان نيك يحب صديقته كثيرًا.,كان لدى نيك و جيس علاقة سيئة.,1,أ,ب,False,ب
كان جوردن يتجول عبر الصحراء على جمله.,أدرك جوردن أنه ضائع، وشرب آخر قطرات الماء.,لم يقم جوردن بتعبئة معدات البقاء على قيد الحياة بشكل جيد.,كان جوردن يشعر بالجوع، لكنه لم يستطع العثور على الماء.,1,أ,ب,False,ب
كورا كانت دائمًا تريد أن تأخذ رحلة بحرية.,بعد ثلاثة أسابيع كانت كورا تستمتع بنسيم البحر أخيرًا!,خططت كورا للرحلة البحرية في السنوات اللاحقة.,خلال عطلة الإجازة سافرت كورا على متن قارب.,2,ب,ب,True,ب
ذهب جيمس إلى البار لمقابلة بعض الأصدقاء.,غادروا أخيرًا وكان الجميع مرتاحين لشجاعة جيمس.,دافع جيمس عن نفسه ضد مجموعة من الكلاب.,لم يخوض جيمس أي معركة في حياته.,1,أ,ب,False,ب
ديرك لديه مقابلة عمل.,لم يحصل على الوظيفة.,لم يستعد ديرك أو يلبس بشكل لائق.,سارت مقابلة ديرك بشكل جيد جدا.,1,أ,ب,False,ب
كان سام يسبح في المسبح.,بقي سام في الخارج لأنه كان مبللاً بالفعل.,دخل سام إلى المسبح.,خرج سام وجف نفسه.,2,ب,ب,True,ب
أنا وأصدقائي كنا نلعب في الخارج.,قمنا بوضع المعدات بعيدًا وذهب كل منا في طريقه.,دخلنا في مشاجرة.,فجأة بدأ يضيء بشدة.,1,أ,ب,False,ب
أم ساندي أعدت لها شطيرة لحم خنزير للغداء مرة أخرى.,كان كلاهما سعيدًا بالصفقة.,لم تحب مولي التونة الخاصة بها لذلك تبادلتها مع ساندي.,كانت شطيرة ساندي المفضلة هي لحم الخنزير.,1,أ,ب,False,ب
اشتريت محرك نسخ احتياطي لآيفون زوجتي باستخدام أمازون.,شكرت أمازون على خدمة العملاء الممتازة التي قدموها.,وصل الآيفون بسرعة.,طلبت أمازون مني على الفور شراء عنصر آخر.,1,أ,ب,False,ب
كانت دينا تسير إلى المنزل في يومٍ بارد.,بدا الكلب مريضًا، لذا أخذته إلى المنزل وأبقته.,رأت دينا كلبًا صغيرًا في الخارج.,رأت دينا سلحفاة صغيرة في الخارج.,1,أ,ب,False,ب
توم وزوجته ديان كانا قد رزقا بطفلهما الأول.,استيقظ زوجته ليخبرها، ثم كسرت هي الخبر إليه.,أبقت ديان الطفل مع جديه ليلة واحدة ولم تخبر توم.,قررا معًا أنهما يريدان الطلاق.,1,أ,ب,False,ب
كان كيلن بحاجة إلى العثور على وظيفة أفضل.,إنه ممتن إلى الأبد لصديقه لمساعدته في الحصول على الوظيفة.,كان لصديقه تشارلي وظيفة شاغرة في الحانة.,حصل صديق كيلن على وظيفة مبيعات براتب أقل له.,1,أ,ب,False,ب
كان توم يستمع إلى الموسيقى في الفصل.,لذلك لم يكن توم يعلم أنهم لن يأخذوه من المدرسة.,رن هاتف توم الخلوي، وأجاب على المكالمة.,لم يسمع توم الرسالة التي أعطاها له معلمه.,2,ب,ب,True,ب
كان نيل محبًا للموسيقى.,ظن نيل أن فيينا هي المدينة الأكثر موسيقية على الأرض!,عندما ادّخر نيل ماله، ذهب إلى النمسا.,سافر نيل إلى فيينا بسبب فنها الرائع.,1,أ,ب,False,ب
كان إد يصنع الويسكي في المنزل.,بعد تذوقه، قرر إد أن الويسكي الخاص به رائع!,كان الويسكي مشروب إد المفضل.,كان إد قلقًا بشأن كيفية ظهوره.,2,ب,ب,True,ب
لاحظت سوزان أن قدميها منتفختان جدا.,بعد بضعة أيام لاحظت أن التورم في قدميها قد زال,كانت سوزان حاملاً في الشهر السادس.,تحدثت إلى طبيبها وقدموا لها بعض النصائح.,1,أ,ب,False,ب
كانت بيث تعاني من الكثير من التهاب الحلق.,استمتعت بالاسترخاء وتناول الآيس كريم في غضون ذلك.,انتهى بها الأمر بإجراء عملية جراحية لإزالة ساقها.,في النهاية أزيلت اللوزتين من بيث.,2,ب,ب,True,ب
كان تشارلي يقود سيارته الجديدة إلى منزل صديقه.,رفض واتبع قوانين الشارع مثل مالك سيارة مسؤول.,تحداه سائق آخر على سباق دراج.,أراد صديق تشارلي أن يبطئ ويصل في وقت لاحق.,1,أ,ب,False,ب
كورنيليا كانت دائمًا تحب العمل بيديها.,قامت كورنيليا بتقطيع الطاولة إلى حطب.,كورنيليا تحتاج إلى حطب لمدفأتها.,كورنيليا تحتاج إلى حطب لكنها قد نفد منها.,1,أ,ب,False,ب
صنع رجل بئرًا للتمنيات بجوار صندوق بريده.,دفع ثمن الوجبة كلها بالتغيير.,امتلأ التغيير بآبار تمنيات.,كل شخص يمر يرمي عملة معدنية.,2,ب,ب,True,ب
كان سام متحمسًا، لقد جاء اليوم أخيرًا.,قرر سام أن فطيرة حفل الزفاف ستكون كافية.,كاد سام أن يسقط كعكة الزفاف.,تلقى سام أخبارًا بأن كعكة زفافه قد تدمرت.,2,ب,ب,True,ب
طلب جو طقم غرفة طعام من الإنترنت لزوجته.,طلب جو أثاث دمشق بالخطأ!,لم يقرأ جو الموقع بشكل صحيح.,عندما قام جو بفك الأثاث، أدرك أنه فاخر للغاية.,1,أ,ب,False,ب
كان يعقوب قادمًا إلى المنزل من العمل.,شعر بسعادة غامرة لعلمه أن مساعدته مقدرة جدًا.,توقف ليساعد شخصًا ما في تفريغ إطارٍ منخفض.,توقف يعقوب ليساعد شخصًا ما في إصلاح إطارٍ مثقوب.,2,ب,ب,True,ب
كانت آن موعدي لحفلة تخرجنا من المدرسة الابتدائية.,فجأة قفزت عبر مقعد السيارة وقبلتني على شفتي!,هي ليست المفضلة لدي منذ الطفولة.,قمت بقيادة السيارة إلى منزل آن من الحفلة.,2,ب,ب,True,ب
انضم روبي لفرقة جديدة.,يسجلون اسطوانة معا.,يدمرون الكثير من الأغاني.,روبي لديه زميل في الفرقة.,2,ب,ب,True,ب
أراد توم اصطحاب شيلي في موعد.,جلس كلاهما وشاهدا غروب الشمس معًا.,صعد توم وشيلي إلى الشاطئ.,اصطحب توم شيلي إلى نزهة على قمة التل.,2,ب,ب,True,ب
كان ديف يحب الهواء الطلق.,التقط ديف صورًا للأشجار الطويلة.,كان الجو جميلاً.,كانت السماء تمطر بغزارة.,1,أ,ب,False,ب
أصيبت سيندي بالمرض.,بدأت سيندي في تناوله تلك الليلة,اشترت لها والدتها بعض أدوية السعال.,اشترت والدتها لها بعض الحلوى.,1,أ,ب,False,ب
كان لجيريمي اختبار هائل في المدرسة.,فجأة، أيقظته معلمته وأكمل الاختبار.,نام جيريمي على مكتبه في المنزل أثناء الدراسة.,كان جيريمي متعبًا جدًا لدرجة أنه نام أثناء الاختبار!.,2,ب,ب,True,ب
أرادت تارا إعادة طلاء غرفتها.,عادت إلى المنزل ودهنت غرفتها باللون الوردي بمفردها.,أرادت تارا غرفة أكثر راحة.,اشترت تارا الطلاء الأزرق الذي رأته في المتجر.,1,أ,ب,False,ب
آلي لم تكن تملك العديد من الحقائب، لكنها كانت متعلقة بالحقائب القليلة التي لديها.,كانت تشتاق لحقيبتها القديمة، لكنها بدأت تحب الحقيبة الجديدة بنفس القدر.,أعطتها والدتها حقيبة جديدة في عيد ميلادها فقامت ببيعها.,لسوء الحظ فقدت إحدى حقائبها واشترت حقيبة جديدة.,2,ب,ب,True,ب
اتصل بي رجل في وقت متأخر من بعد ظهر يوم على هاتف المنزل.,بعد بضع ثوان اتصل مرة أخرى.,رفعت سماعة الهاتف لكن الرجل لم يتحدث الإنجليزية.,تنفس بعنف في الهاتف وقال كلمة بذيئة.,2,ب,ب,True,ب
كان توم مخمورا في حفلة.,جعلته يعترف أخيرًا بأنه مخمور.,توم صادق عندما يكون مخمورا.,انتهى توم بالذهاب إلى مقهى.,1,أ,ب,False,ب
كانت بيث تركب دراجتها في المنتزه بالقرب من منزلها.,نظرت الأم ورضيعها إلى الأعلى ثم واصلوا طريقهم.,رأت بيث أمًا تصرخ على أطفالها في عربة أطفال.,رأت بيث أمًا بطة و صغارها.,2,ب,ب,True,ب
توني كان يحب الفن.,تم تعيين توني على الفور ونجح.,تم اعتبار عمل توني الفني تحفة فنية من قبل المتحف.,تم رفض توني لمنصب في معرض.,1,أ,ب,False,ب
لقد صنعت وشاحًا دافئًا لأمي.,الآن أصنع أوشحة للجميع أيضًا.,لم يعجب أمي.,الجميع أعجب بوشاح أمي.,2,ب,ب,True,ب
أرادت آفا الذهاب إلى حديقة الحيوان.,لقد قضوا يومًا رائعًا في حديقة الحيوان!,رأت آفا جميع الحيوانات.,لم يسبق لوالدي آفا الذهاب إلى حديقة الحيوان.,1,أ,ب,False,ب
صعد ريان مجموعة السلالم الطويلة ليصل إلى المنزلقة المائية.,كانت أكثر متعة مما توقع.,كان ريان خائفًا من النزول على المنزلقة المائية.,أحب ريان النزول على المنزلقة المائية.,1,أ,ب,False,ب
كان بوب خارجًا للصيد بحثًا عن الغزلان.,تم إنقاذ بوب وكان أكثر حذرًا من ذلك الحين فصاعدًا.,لم يكن Stu منتبهًا وسقط في وادٍ مكسورًا ساقه.,سقط بوب في حفرة وظل عالقًا هناك لساعات.,2,ب,ب,True,ب
لم أقابل أمي الحقيقية قط.,أو إذا كان يجب عليّ أن أواصل مهمتي حتى تصبح هي حقًا شبحًا.,لقد بحثت عنها.,لقد وجدت أمي، وتساءلت عما إذا كان يجب عليّ أن أتخلى عنها.,1,أ,ب,False,ب
كان لإيفان قطة واحدة.,كانت القطتان سعيدتين للغاية!,هربت قطة إيفان بعيدًا.,تبنى إيفان قطة ثانية.,2,ب,ب,True,ب
تم سرقة منزل في الحي.,نشر تشارلز صورة على إنستجرام له مع أخيه.,كان تشارلز هو الشرطة.,كان تشارلز في المنزل عندما حدث ذلك وذهب إلى مسرح الجريمة.,2,ب,ب,True,ب
قرر جيم أن يكون نجمًا روك.,سجل جيم في دروس تعليم العزف على الجيتار.,ولكنه لم يكن يعرف كيف يعزف على آلة موسيقية.,كان جيم يعلم أنه سيحتاج إلى أن يكون له اسم مستعار.,1,أ,ب,False,ب
أراد ستيف بدء عمل تجاري جديد.,دُفع لستيف 500 دولار مقابل الثعبانين اللذين اصطادهما.,لم يكن ستيف خائفًا من الثعابين التي وجدها الناس في المنازل.,اصطاد بعض الثعابين لشرائها.,1,أ,ب,False,ب
عشنا في شقة سكنية من 1987 إلى 2013.,كانت ابنتي أفضل في اليوم التالي.,في يوم من الأيام حصلت ابنتي على درجة سيئة وكان عليها أن تبقى في المنزل من المدرسة.,عانت ابنتي دائمًا من التعب والحساسية.,2,ب,ب,True,ب
اكتشف بوب أن شاحنته بها إطار مثقوب.,قاد بوب شاحنته إلى السوق.,لم يكن لدى بوب إطار احتياطي.,قام بتغيير الإطار المثقوب بنفسه.,2,ب,ب,True,ب
كان آل أنحف شخص في فصله الرياضي، وكان دائمًا محل سخرية.,في سبتمبر، لم يتعرف زملاؤه في الفصل عليه.,انضم آل إلى صالة رياضية خلال فصل الصيف.,خلال فصل الصيف، تعرض آل لحادث.,1,أ,ب,False,ب
أراد أنتوني تعلم التحدث باللغة الإسبانية.,أصبح أنتوني ناجحًا بفضل قدراته اللغوية.,التحق أنتوني بفصل دراسي في اللغة الإسبانية وتفوق فيه.,تعلم أنتوني بدلاً من ذلك لغة الكلينجون.,1,أ,ب,False,ب
كان تشانغ ينهي غداءه عندما سمع فجأة ضجيجًا.,توقف البركان عن النشاط قبل أن تلحق الحمم الضرر بالمدينة,نظر تشانغ من نافذته ليرى ما كان يحدث.,نظر تشانغ إلى الخارج ورأى أن البركان لا يزال هادئًا.,1,أ,ب,False,ب
أرادت أليس أن تتعلم كيفية ركل ركلة ركنية لفريقها.,ركلت أليس الركنية في المباراة التي أدت إلى ضربة الرأس الفائزة.,طلبت أليس من مدربها تقبيلها.,تدربت أليس على ركلة الركنية لساعات كل يوم.,2,ب,ب,True,ب
كانت آنا تخيط فستانًا.,كان عليها أن تأخذ استراحة لتضميد جروحها.,طعنَت آنا إبرتها بالإصبع.,علقت آنا بإبرة.,2,ب,ب,True,ب
ذهب جاي لوضع بنطاله ليستعد للعمل.,رمى جاي الحزام جانبًا وقال إنه سيشتري واحدًا جديدًا.,أدرك جاي أن مشبك حزامه مكسور.,ربط جاي حزامه بعناية.,1,أ,ب,False,ب
عندما ركب الأصدقاء الطائرة إلى أستراليا، شعروا بالغرابة.,كانوا يلاحقون ولم يتعرف أي منهما على ذلك.,كان كلاهما على علم بأنهما يتعقبان.,جلس الصديقان في الخطة.,2,ب,ب,True,ب
كانت آنا في حفلة عيد الفصح.,فازت آنا باصطياد بيض عيد الفصح!,حاولت آنا بذل قصارى جهدها للعثور على جميع البيض.,ركضت آنا من حولها لكنها لم تجد أي بيض.,1,أ,ب,False,ب
كان إيان يلعب لعبة عبر الإنترنت.,ولكنه لم يشعر بأي تحسن.,تغيب إيان عن المدرسة بسبب المرض ولعب طوال اليوم.,كان أحد أصدقاء مايك يدافع عنه من بعض اللاعبين الذين يتحدثون بسوء.,1,أ,ب,False,ب
كانت آنا ستذهب في رحلة بحرية على النهر.,قضت وقتًا رائعًا في رحلتها البحرية.,ذهبت آنا في رحلتها البحرية مستعدة تمامًا لأي نشاط.,ذهبت آنا مع صديقتها المقربة السابقة.,1,أ,ب,False,ب
كان بي يحفر في فناء منزله الخلفي.,لقد وجد، مع ذلك، ثلاث قطع نقدية من فئة عشرة سنتات وغطاء زجاجة!,لم يجد أي آثار لفصله التاريخي.,وجد بي كنزًا كان يبحث عنه،.,1,أ,ب,False,ب
كنت أحاول تناول الغداء في المنزل بالأمس عندما طار ذباب إلى الداخل.,في النهاية قتلته بصحيفة.,كان يطير حولي ثم طار خارج النافذة.,كان يهبط في كل مكان.,2,ب,ب,True,ب
كان جاكسون عند البحيرة مع عائلته.,سحب السمكة إلى الداخل وأظهرها بفخر.,لذا قررت عائلته أن يصطحبوا القارب ويذهبوا إلى الصيد.,كان جاكسون يسبح في البحيرة.,1,أ,ب,False,ب
كانت أليس ستتزوج خلال أسابيع قليلة.,اتصلت أليس بوالدتها واعتذرت لها بكل إخلاص.,تخلت أليس عن الزفاف.,نسيت أليس أن تدعو والدتها إلى الأسابيع.,1,أ,ب,False,ب
حب التأمل.,كان هيرب قد انتكس ومرض.,كان هيرب متوترًا وقرر أنه بحاجة إلى التأمل.,أراد هيرب أن يشرب.,2,ب,ب,True,ب
نانسي أمسكت كريس وهو ينسخ الإجابات لامتحان الغد.,لم تستطع نانسي كتم السر واعترفت به للجميع.,نانسي لم تخبر أحداً عما فعله كريس.,توسل كريس إلى نانسي ألا تخبر أحداً.,2,ب,ب,True,ب
كانت جينا في وسط المقعد الخلفي محاطة بأشقائها.,استمرت جينا في التحديق.,تمكنت جينا من رؤية كلب غريب في السيارة بجانبهم.,لم تتمكن جينا من رؤية أي شيء خارج السيارة.,1,أ,ب,False,ب
قررت كارولين أن تأخذ درسًا في ركوب الأمواج على الشاطئ.,الآن هي تحب بناء القلاع الرملية عندما تذهب إلى الشاطئ.,سقطت وتلاطمت وكادت أن تغرق.,ثم صنعت كارولين لوح تزلج على الأمواج.,1,أ,ب,False,ب
أرادت إيمي أن تتعلم كيفية الرسم.,أضاء وجهها عندما رأت رسوماتها على الثلاجة.,لم تمارس إيمي الرسم طوال اليوم.,تدربت إيمي وأعطت الرسم لوالدتها.,2,ب,ب,True,ب
أراد بوب الذهاب إلى باريس.,قبل بوب استرداد الأموال ولم يذهب إلى باريس أبدًا.,قام بحجز رحلة، لكن شركة الرحلات ألغتها.,أدت الأحداث إلى تسريع رحلة بوب.,1,أ,ب,False,ب
كانت سارة بحاجة إلى وصفة طبية.,كان لديه وصفتها الطبية جاهزة وسلمها إليها.,سارت سارة إلى الصيدلية لترى ما إذا كانت وصفتها الطبية جاهزة.,ذهبت سارة إلى المكتبة للتحدث إلى الصيدلي.,1,أ,ب,False,ب
نينا أرادت زي هالوين جميل.,اشترت نينا لعبة.,نينا كانت حرباء.,لم تتمكن من العثور على واحدة تهمها.,2,ب,ب,True,ب
تساقط الثلج في حي كيلي حوالي ثلاثة أقدام.,كانت كيلي سعيدة لكسب المال الإضافي.,قررت كيلي أن تلقي بالثلج من أمام منزلها إلى فناء جارتها.,قامت كيلي بتنظيف مدخل بيت جارتها من الثلج.,2,ب,ب,True,ب
كان جو يمشي عبر وسط المدينة.,وافق على مضض على منحهم مقابلة.,تمت مقاربته من قبل امرأة جميلة.,تمت مقاربته من قبل جامع بيانات استقصائية.,2,ب,ب,True,ب
سمح سام ل تيم باستعارة سماعاته.,كان سام سعيدًا فقط لأن تيم قال الحقيقة.,احتفظ تيم بسماعات سام بأمان.,فقد تيم السماعات وأخبر سام.,2,ب,ب,True,ب
بيث وصديقاتها يدرسن معًا.,ضحك الجميع على الفيديو المضحك.,أخذوا استراحة دراسية لتصوير مقاطع فيديو.,وجدت بيث مقطع فيديو لقطة مضحكة.,2,ب,ب,True,ب
لقد أكملت أول ماراثون لي اليوم.,لم أكن يومًا أكثر سعادة.,العدو الماراثوني هدف عملت من أجله لفترة طويلة.,تدربت بجد وكنت تقريبًا آخر من يصل إلى خط النهاية.,1,أ,ب,False,ب
كانت ساشا معجبة بصبي في فصلها.,ذهب الاثنان في موعد إلى السينما.,طلب الصبي من ساشا الخروج معه.,كانت ساشا خائفة من أن تطلب منه الخروج معها.,1,أ,ب,False,ب
كنت أنا وأصدقائي نلعب في الخارج.,لعبنا اللعبة بحماس حتى حل الظلام.,كنت أنا وأصدقائي نستمتع باستراحة.,كنا نمرح معًا قدرًا كبيرًا من المرح.,2,ب,ب,True,ب
دخل تيم في شجار في المدرسة.,كان تيم خجلا وتمنى لو لم يتصرف بهذه الطريقة.,لكم تيم امرأة كانت تسخر منه.,لم يستطع تيم تحمل مزحة.,2,ب,ب,True,ب
استأجرت المدرسة الثانوية مدرب كرة قدم جديد.,تم فصل المدرب الجديد قريبًا.,أطلقت زوجة مدرب كرة القدم الجديد أسماء على لاعبيه.,خسر المدرب كل مباراة.,2,ب,ب,True,ب
سأحضر عصير الليمون ويمكن لجين أن تحضر الكعكة.,نعم، وقد اشتريته!,لقد صنعت عصير الليمون.,سألتني جين إذا وجدت الكعكة.,1,أ,ب,False,ب
كان هناك رجل يدعى ماكفي.,لذا قام بتعليمهم بعض الحيل.,ثم أصبح ماكفي مدرسًا للأطفال.,كان رجلاً يحب السحر.,2,ب,ب,True,ب
