observation_1,observation_2,hypothesis_1,hypothesis_2,label
قرر لودون أن الوقت قد حان لشراء ميكروفون جديد.,شعر لودون بالسعادة الكبيرة عندما سمع صوته من خلال الميكروفون الجديد.,اشترى لودون قليلًا من الجبن المقلوب.,ذهب لودون إلى المتجر واختار ميكروفونًا جيدًا جديدًا وأحضره إلى المنزل.,2
جاء بائع يومًا إلى مكتبي.,باع بيعته ب 20 دولارًا.,كان البائع يبيع صانع فرشات.,أظهر البائع لي سيارة جديدة لشركةه.,1
كان لاري متأخرًا عن العمل.,أخطأ في اختيار واحدة في عجلة.,اختار شريطًا عن طريق الخروج من الباب.,ضمن أن ياخذ الشريط الصحيح عند الخروج من الباب.,1
فازت راشيل برحلة طيران مجانية.,استاء معلمها من راشيل عندما كانت تطفو بعيدًا.,لم تكن راشيل خائفة من القيام بذلك.,أخذت راشيل اختبار طيران في تونل الهواء.,2
كانت جدتي دائماً تحب الغزل.,استخدمت جدتي القطعة الغزلية بشكل جيد.,أعطت جدتي لنا قطعة ليلة عيد الميلاد.,رأت جدتي أني لدي ثقب في جينز.,2
كانت داريا تريد قميصاً جديداً.,وجدت قميصاً جميلاً وطلبته فوراً.,استخدمت الإنترنت لتحديد القميص المثالي.,ذهبت في جميع أنحاء المدينة لتحديد قميصاً.,1
كان توبي كلب عائلة سوليفان الأول.,عاش توبي حتى بلغ من العمر 16 عامًا.,عامل سوليفان توبي مثل عضواً في الأسرة.,عامل سوليفان توبي مثل عضواً في الأسرة لمدة 2 سنوات.,1
عملي كصبيانة يدوية يحتاجني إلى وقت كافٍ طوال اليوم.,في النهاية، أستخدم جهاز الفرشاة لتنظيف الأرضيات.,أنا أتبع جدولًا كاملًا: إزالة القمامة، تنظيف الحمامات، إزالة الغبار، إعادة ملء containers.,أبدأ أولًا بفرك جميع الأرضيات.,1
ذهبت سάλι إلى متجر الحيوانات الأليفة في اليوم الآخر.,لدي سάλι سمكة ذهبية اسمة بوبي.,استعرت سάλι في الزجاجات السمكية وتركت واحدة.,رغبت سάλι في حيوان أليف يتطلب الكثير من الرعاية.,1
أصابني صراع مع حبيبتي الليلة الماضية.,لم تجاوب مع مكالماتي منذ الصباح الباكر حتى الآن، ويظهر على ملفها على الإنترنت أنها غير متزوجة.,أخرجت من بيتي بفURY و لم أتحدث معها طوال الليل.,أخرجت من بيتي بفURY ولم أتحدث معها طوال الليل.,2
لم أكن أعرف اسم زوجة دوغ، فأسألته.,أخيراً نظرت في شهادة وفاة زوجة دوغ واكتشفت اسمها.,أذن دوغ لي بمراجعة بعض الوثائق.,أخبرني دوغ أن زوجته ميتة.,1
أحب بن أن يلعب مع الحيوانات.,لقد صعق الكلب بن لأن كان قاسيًا معه.,وجد بن كلبًا جديدًا.,بدأ بن يلمس كلبًا قليلًا جدًا.,1
أحببتي بيتي الطهي.,كانت زوجة بيتي سعيدة.,اكتشف بيتي أطباق جديدة.,طهى بيتي العشاء تلك الليلة بدلاً من زوجته.,2
كانت ناي تريد حيوان أليفًا لكنها كانت حساسة للقطط.,أحضرت ناي أربعة أسماك وأحبت رؤيتها كل يوم!,بحثت ناي عن الحيوانات الأليفة التي ستكون مناسبة للأشخاص الذين يعانون من الحساسية للقطط.,قررت ناي الحصول على شيء آخر غير الأسماك.,1
حصلت كلو على تذاكر لعبة هوكي قادمة.,فاز فريق كلو واختارت المنزل مع هدية إضافية!,ذهبت كلو إلى اللعبة وتشجعت على فريقها.,ذهبت كلو إلى لعبة الهوكي واصطدمت بكرة الهوكي.,2
كانت لويز تعرضت للعنف في مدرستها الابتدائية بانتظام.,الآن لويز تعلم جيدًا وأكثر سعادة.,حصلت لويز على مساعدة من بالغ ل解决 المشكلة عندما بدأت درجاتها في الانخفاض.,أخيرًا وقف bullies أمام لويز.,1
أمرت لوسي بعض البيتزا.,كان لوسي ملزمًا بتحميصها.,عندما وصلت البيتزا إلى لوسي كانت باردة.,عند وصول البيتزا كانت ساخنة.,1
سافرت جينا أمام التلج المبلل القريب من منزلها.,فجأة رأت آلة كبيرة تُستخدم لرش الثلج الاصطناعي على التلج.,كانت جينا تريد أن تذهب للتزلج بمجرد ما يمكنها.,كيف أتمنى جينا أن يهطل المطر حتى تتمكن من الغمر.,1
كان جيسون دائمًا يمتاز بالتقدير لحركات الملاكمة السريعة التي يراها على التلفزيون.,كان مبارياته للوزن الثقيل ممتعة للغاية.,استخدم بعض الحركات في مباراته للوزن الثقيل.,استخدم بعض العمل للراحة من قدمه.,1
قرر توم الذهاب للتزلج في عاصفة ثلجية.,استمتع توم بشرب كوب من الشوكولاتة الساخنة مع أصدقائه في المخيم.,أصيب توم بالعطش لكنه تم إنقاذه من قبل أصدقائه.,كان ذلك سيئاً لكن كان بارداً جداً لدرجة أنهم بقيوا.,1
كانت جيل و ليسا صديقتين منذ سنوات.,كانت ليسا حزينة للغاية.,كانت حادة معها.,كانت حادة مع جيل.,1
كانت أمي في السوبرماركت تسوق لمدة أسبوع.,كان عليها أن تسير خلف الليمونات نصف مسافة عبر ملاذ السيارات.,ألقت واحدة من حقيبتها التسوق قبل الدفع.,أصيبت حقيبتها بكسور منتصفها.,2
كانت ماري مسجلة في سانتا السري.,أرسلتها إلى شريكها.,ذهبت ماري إلى المتجر لشراء مجموعة مكياج.,كانت ماري شريرة ووضعت ثعابين حية في صندوق الهدية.,2
لا يزال بيل يلعب ألعاب الفيديو العنيفة حول ابنه.,أرغم بيل في أن يلعب الألعاب.,في يوم من الأيام ضرب صبيه صديقه برأسه بحجر.,رأى بيل ابنه يكرر مشهد جنس عنيف.,1
كانت تريش سعيدة لأن بناتها جميعًا في المنزل في نفس الوقت.,ذهبت تريش إلى الفراش سعيدة للغاية تلك الليلة.,رأت تريش واحدة من بناتها مؤخرًا لأنها كانت على وشك الذهاب إلى الكلية.,لم ترى تريش واحدة من بناتها منذ فترة طويلة لأنها كانت على وشك الذهاب إلى الكلية.,2
جمعتنا اجتماعات حفل عيد الميلاد في المكتب.,كان الليل وقتًا ممتعًا وجميعهم سعداء.,تبادَل الجميع هدايا عيد الميلاد.,عملنا بجد لتحضير الحفل.,2
حصلت عائلة بيلي على منزل جديد في مدينة جديدة.,أصبحت عائلة بيلي أصدقاء حميمين.,استطاع بيلي أن يصبح أصدقاء مع الجار الذي يعيش في المنزل الثالث من يسارهم.,لقي بيلي جاراه جيمي في يومه الأخير.,1
لاري كان يلعب كرة السلة.,حمل النهر كرة السلة إلى الأبد إلى النهر.,ألقى لاري كرة السلة وبدأت تتدحرج إلى سفح الجبل.,بدأت تسقط الأمطار الثلجية بحرارة، وسرعان ما تغطى الميدان بالثلج.,1
كانت آنا تقوم بتخزين أطفال أعمامها الصغار.,كانت آنا تحفزهم طوال اليوم!,أحضرت آنا حقيبة ممتلئة بالفنون والرسم.,جعلت آنا وجوهًا مضحكة للكلاب.,1
كنت أتحدث مع جارتي صباحاً.,كان القط قد كان يتبعني و دخل بيتي.,لم ألاحظ القط الميت خارجاً بينما كنت أتحدث.,تركته باب جاري مفتوحاً.,2
كانت جوانا تصنع كعك ليمون.,أصابها الكعك بتركيب غير مريح.,أضافت جوانا كمية كبيرة من بيكنج سودة.,نسي جوانا إضافة بيكنج سودة.,2
كان مارك في ميدان الكرة البيضاء كل يوم الأربعاء.,لم يأكل مارك سوسيسا مرة أخرى.,أحب مارك السوسيس، لكنه كان يفقد الوزن كثيرًا.,أصيب مارك بمرض الغثيان من سوسيسة في ملعب الكرة البيضاء.,2
كان معلمي الكورنيش ممتازًا.,كان جميع أمثلة له مضحكة حقًا!,أعطى تعليمات جادة جدًا لكل ما تعلمته.,أعطى تعليمات واضحة لكل ما تعلمته.,2
قال لي ابني عن الحصول على بعض المال الإضافي في وقت فراغي.,الآن أعمل على turk كل يوم وأحصل على الكثير من المال الإضافي.,قال لي ابني إنها تسمى Mechanical Turk وهي تشغيل من قبل أمازون لذلك أعرف أنها شرعية.,ألقت به في وظيفة turk.,1
نسيتهُ أن أُنشط الساعة في الليلة الماضية.,الحظ كان معي، فكنتُ عملاً جيدًا، وَلحقتني فرصة أخرى.,كانتُ مبكرًا للعمل هذا الصباح.,أنهيتُ بالوصول متأخرًا للعمل.,2
أبى بات أن يحب بن.,سوف لا يرتدي بن قفازات مرة أخرى أبدا.,بدأت بات ارتداء القفازات مع حلول الشتاء.,ضرب بن بات بقفاز.,1
ألقيت الزهرة البلاستيكية السوداء في كأس ماء.,بالفعل، لم أعرف لماذا بالفعل.,كنت أفكر في أمور أخرى ولم أدرك أنني لم أفعل ذلك بعد.,سألتني صديقي لماذا قمت بتركيب زهرة بلاستيكية في الكأس.,2
كان رون واصدقائه يلعبون في الليل.,قال رون إنه لا يريد ذلك، واصدقاؤه ألقوا به على ذلك.,قرر رون الذهاب إلى المنزل حتى يستريح قبل العمل في اليوم التالي.,دعوا أصدقاء رون رون أن يبقى داخل المنزل.,1
كان جيم يريد سيفونًا جديدًا لل厨نة.,ثم أخذ بعض الوقت ليتعجب من سيفونه الجديد!,ذهب جيم إلى النادي الليلي.,أصدر جيم عقدًا مع صانع السباكة لتركيب سيفون منزلي.,2
توفي زوجي جيم بسبب السرطان في العام الماضي في عيد الحب.,ترك والدتها الحبيب رسالة حب أخيرة في كتابهم المفضل.,أراد جيم أن يترك زوجته مemento دائم.,انتقلت ابنتي من غرفتها.,1
استيقظ غارث وضرب الساعة الكهربائية إلى الصمت.,دعا 911، لكن لم يكن هناك أي شيء يمكنهم فعله.,شعرت غارث بشيء بارد إلى جواره.,شكك غارث في هاتفه و لم يعرف الوقت.,1
"كتب مارك قصص الرعب ليعيش منها, و كان يعتبرها من أهم ما يملكه.",استيقظ مارك على صوت ساعة الاستيقاظ بين الحُزن.,أصيب مارك بالنوم عن عمد قبل أن ينهي قصة له في الوقت المناسب.,أعطت قصص مارك له الحُلم.,1
أوقفت إخدائي للدواء المُصَنَّف لِأَنَّهُ جعلني مريضا.,أخبرت الطبيب أن دواءَه جعلني مريضا فَأوقفت إخدائي لَهُ.,ذهبت إلى الطبيب لمناقشة دوائي.,تأخرت عن موعد زيارتي للطبيب.,1
كانت تيم محاصرا في الرياضيات.,في النهاية، فشل في الاختبار واضطر إلى إعادة المادة.,بدلاً من أن يسأل عن المساعدة، ذهب إلى مباراة كرة القدم مع أصدقائه في ليلة قبل الاختبار النهائي.,درس تيم كل ليلة.,1
ذهبت الفتيات إلى بار.,ذهبن إلى المنزل يتحدثن عن ليلةهن.,استمتعت الفتيات بالبار.,استمتعن بالوقت الممتع الرقص حتى الصباح.,1
ذهبت جو إلى السطح لتعمل على لون بشرتها.,سمع أصحاب المنزل صوت ضربها ووجدوا جو تتعرض للبرد على السطح.,بقيت خارجاً طوال النهار وعندما جاء الليل ذهبت إلى الداخل.,أصيبت جو بالخطأ بفتح الباب من الداخل وبدأت بالضرب على الباب طلباً للمساعدة.,2
كانت المفاجأة كبيرة عندما انقطع شاحنة بوب على الطريق السريع.,حتى ضابط الشرطة يعطي بوب رحلة إلى شركة تأجير سيارات.,ظن أنه سيكون غريبًا أن يكون في منتصف الطريق.,يوقف ضابط الشرطة في الحديقة ليهتم ببوب.,1
أنا دائمًا أريد أن أكون قادرًا على ركوب الدراجة ثلاثين ميلًا في وقت واحد.,أنا في حالة سيئة للغاية لا أستطيع حتى ركوب ميل واحد.,لم أكن أ骑 الدراجة أو أتدرب على التمارين الرياضية حتى الآن.,أنا أ骑 الدراجة وأتدرب على التمارين الرياضية كل يوم.,1
استيقظ جاكوب في ضوء أحمر.,الآن يستيقظ جاكوب فقط في سريره.,سقط نائمًا في السيارة.,وعد جاكوب بأن لا يصعد مرة أخرى إلى السائق تحت تأثير الكحول.,1
كانت بلّا بشعر أبيض شاحب.,عندما غادرت، كانت بشرتها بنية ذهبية صيفية!,قررت بلّا أن تأخذ إجازة مريحة للغاية في فلوريدا.,قررت بلّا أن تخصّص الصباح في صالون العناية بالشعر.,1
كانت كاثي سعيدة لأنها أخيرًا وجدت بعض الوقت للحياكة.,ضربت كاثي إصبعها المعدني على الطاولة من فرط الإحباط.,وضعت كاثي الثمبلات.,لم تتمكن كاثي من إدخال السلك في القماش.,1
جعلت جدتي تارت الليمون الأخضر.,ذهبت إلى الحمام لتفريغها.,أنا أبغض التارت.,أكلت التارت بكل عطش.,1
كان نيد بحاجة إلى سيجارة - كان قريبًا من انتهاءها.,اشترى لنفسه kartoonين كامليْن من سيجارات.,قرر نيد أن يكون الوقت مناسبًا لترك التدخين ففعل ذلك بكل قوة.,رأى نيد عروضًا جيدة في النادي الريفيعي.,2
كان أصدقائي يأخذونني لركوب الصخور.,في اليوم التالي، ذهبت إلى الصخرة الحقيقية والصعود عليها جيدًا.,أرادوا أن يبدأوا بالصخرة الحقيقية للتدريب أولاً.,ذهبنا إلى الصالة الرياضية للتدريب على الجدار المزيف.,2
ذهبت إلى الشاطئ في صيف الماضي لتحقيق لون جسمي.,استيقظت بحرق الشمس الكبير على جسدي كلها.,الست نومًا ولم أضع مزيدًا من الماسح الشمسية.,الست نومًا في الظل.,1
كانت كيلي لا تنتظر حتى تذهب إلى Sephora للمرة الأولى لشراء الماكياج.,بناءً على الوقت الذي غادرت فيه المتجر، كان لدى كيلي حوالي ١٢ حقيبة مختلفة.,علمت السيدة المبيعة أن كيلي ستصبح بيعًا سهلًا.,لا يمكنها تصديق كم عدد الخيارات القليلة التي كانت أمامها.,1
التلفزيون شيء خائف.,جعلت سندويتشا لتنفذ رغبتي.,أصابني إعلان واحد برغبة في سندويتش.,شاهدت برنامجًا عن الأشياء الخائفة الموجودة حول العالم.,1
كان يوماً آدم اشترى مسدساً ذا BB اثنين.,كان آدم يفتخر بكرستيان جداً.,أطلق كريستيان النار على آدم بالمسدس.,أعطى آدم واحدًا لكريستيان.,2
زورنا حفلة Halloween,كان المضيف متهورا,اقترح صديق المضيفة الزواج منها في وجه الجميع,كان المضيف قد شرب الكثير ويتعاطف مع شخص لم يكن زوجته.,2
جمعت عائلتي في يوم عيد الشكر.,كنا نستمتع بوقت رائع.,أتى الناس من جميع أنحاء الولاية.,كان الجميع غاضبًا ولم يأكلوا.,1
أحب جو شعره.,قرر جو قصه ونجح في الحصول على وظيفة فورا.,كان جو يواجه صعوبة في اختيار وظيفة.,لم يتم توظيف جو بسبب أن شعره يبدو غير محترف.,2
قرر بن أن يتعامل لنفسه بقهوة.,كان بن غاضبًا من الرسوم الإضافية.,كانت الرسوم الإضافية بسبب كوب.,أصدر العامل له رسومًا مضاعفة.,2
كان جو قد تخرج حديثاً من الكلية.,كان عليه الحصول على وظيفة جزئية لتحمل البطالة.,لي جو  مبلغ من المال.,سوق العمل كان سيئاً.,2
أحب آل الموسيقى الحزينة.,فجأة عندما رأى الدمع سألها أن تكون زوجته.,رآ آل امرأة في متجر البقالة تبكي عندما جاءت أغنية حزينة على نظام البث الصوتي.,بكيت شريكة آل أثناء أغنية حزينة.,2
لاعبيس كره الرياضيات.,كانت خطأ و انسحبت خلال شهر.,أهانت نفسها عن طريق التسجيل في صف الرياضيات.,ظنت أن التدريس سيقتلها.,1
TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,2
كانت أليكس تحتاج إلى groceries.,اشترت أليكس يختا.,رأت إعلاناً عن سيارة في المتجر.,قررت أن تذهب إلى متجر وترى القوارب أثناء الذهاب لشراء groceries.,2
أردت حيواناً أليفاً في عيد ميلادي.,سافرت إلى المنزل مع الخنزير الصغير في سيارتي.,أعطاني أبي عصا بدلاً منه.,ذهبت لشراء حيوان أليف غريب مع أبي.,2
أخبرت المعلمة ديانا أنها فشلت في الفصل.,أنهت ديانا بمرتبة 33 في الامتحان.,قررت ديانا أن تدرس مع أصدقائها بدلاً من الخروج.,قررت ديانا أنها لا تهتم و لم تدرس للامتحان.,2
كان هناك zwei عائلتان قويتان (There were two powerful families.),انتهى Lance من الفوز بالحرب وتولى السلطة (The Lance's ended up winning the war and took over.),"فازت Funkel في كل معركة، عام بعد عام (The Funkel's won every battle, year after year.)",حارب العائلتان (the families had a fight.),2
كان ميرون صغيرًا، كان دائمًا في مركز حياة والديه.,اكتشف ميرون أن هناك أجزاء جيدة منbeing  أخًا أكبر أيضًا.,لم يكن ميرون سعيدًا لأن والديه يخططان لولادة طفل جديد.,في يوم من الأيام، قال والدي ميرون أن سريرًا جديدًا على الطريق.,1
استيقظت أمي لترى الشمس مشرقة في الخريف.,أحب أمي ذلك اليوم الجميل في الخريف الذي كان يشبه الصيف.,أقضت أمي يومها خارجاً في الطقس الجميل.,بقيت أمي في المنزل طوال اليوم.,1
كان تيري يواجه مشكلة كبيرة.,لا يزال يرفض التخلي.,رغب تيري وزوجته في استخدام نفس اللون للبيت.,كان تيري ثابتا في آرائه.,2
كان كوينتون في خطر الإخلاء من شقته.,شعر كوينتون بالاكتئاب.,أحضر كوينتون حقيبته، وبدأ في البحث عن مكان جديد.,لم يكن كوينتون قادرًا على العثور على شقة أخرى للانتقال إليها.,2
أ雇ى آدم خادمة لتنظيف منزله.,ألقت الوكالة بالسارق فوراً.,أسرق الخادمة فضته من المنزل.,في ذلك اليوم سارق منزله الجار.,1
كان لدى ديف عائلة تملك مطعمًا.,قرروا إغلاق الأعمال التجارية.,يتلقون أكثر من زبائن.,لم يعد مطعم ديف ينجح.,2
كان روبي يصعب عليه الحفاظ على رصيده للقلم بشكل صحيح.,كان روبي و معلمه و أمه جميعاً سعيدون عندما نجح!,أخيراً نجح روبي في ذلك.,لم يعرفوا كيف يساعدوها على الحفاظ على القلم بشكل أسهل.,1
كان جد يصنع شوربة.,أحس جد بالندم لأن لم يكن يأكل فقط بOWL من الحليب المخمر.,أكل بعض الحليب المخمر في هذه الفترة.,حرق جد الشوربة.,2
نسي آني النوم.,لأنها لم تكن لديها الوقت، انتهت شعرها إلى أن يبدو فوضويًا.,كان على آني أن تسرع وتحضر للفصل قبل أن تأخر.,أخذت آني وقتها لتقصير شعرها تلك الليلة.,1
كان نيك يلتقي بچيس.,لذلك قرر نيك أن يطلب منها الزواج.,أحب نيك حبيبته جداً.,كانت علاقة نيك وچيس سيئة للغاية.,1
كان يوردان يتنقل عبر الصحراء على ظهر دابة حمار.,أدرك يوردان أنه ضائع، واشرب آخر قطرات الماء في حزامه.,لم يكن يوردان قد حزم معداته للنجاة جيدًا.,كان يوردان يهتم بالجوع، لكنه لم يجد ماء.,1
كانت كورا دائماً تريد أن تأخذ رحلة بحرية.,بعد ثلاثة أسابيع، كانت كورا أخيراً تستمتع برياح البحر!,خططت كورا للرحلة البحرية في السنوات الأخيرة.,خلال عطلة إجازة، سافرت كورا على قارب.,2
ذهب جيمس إلى البистرو للاجتماع مع بعض الأصدقاء.,أخيراً رحلوا جميعاً و كان الجميع راضياً عن شجاعة جيمس.,قاوم جيمس مجموعة من الكلاب.,لم يشارك جيمس في معركة قط.,1
حصل ديريك على مقابلة عمل.,لم يفز ديريك في المناقصة.,لم يعد ديريك مستعدًا أو يرتدي ملابس جيدة.,كانت مقابلة ديريك جيدة جدًا.,1
كان سام يسبح في البركة.,بقي سام خارجاً لأن كان بالفعل رطبًا.,دخل سام في البركة.,خرج سام و جفف نفسه.,2
لقد كان أصدقائي وأنا نلعب في الخارج.,ألقينا الأجهزة في مكانها وذهبنا في اتجاهاتنا المختلفة.,أصبحنا نتنازع.,فجأة أصبح الشمس تشرق بدرجة كبيرة.,1
أحضرت أم ساندى لها مقلوبة لحم لحمها الغداء مرة أخرى.,كانا سعداء مع التبادل.,لم تكن مولي تحب التونة، لذا قامت بالتبادل مع ساندى.,كانت مقلوبة اللحم المفروم ساندى المفضلة.,1
اشتريت قرص备份 لجهاز iPhone زوجتي من خلال أمازون.,شكرت أمازون لخدمة العملاء الممتازة لديهم.,أتى iPhoneي بسرعة.,طلب أمازون مني فوراً شراء عنصر آخر.,1
كانت ديانا تمشي إلى المنزل في يوم بارد.,بدت الكلب مريضاً فاتخذته إلى المنزل وأبقته.,رأت ديانا كلبا صغيراً خارجاً.,رأت ديانا ثعبان صغيراً خارجاً.,1
توم و زوجته ديان كانوا قد أصبحا آباءً لأول مرة.,استيقظ توم ليرد على زوجته، ثم أخبرتهما أنهم أصبحا آباءً.,أبقيت ديان الطفل مع جديهما ليلة واحدة ولم أخبر توم.,قررا معاً أن يريدوا الطلاق.,1
كان كيلن بحاجة إلى العثور على وظيفة أفضل.,يشكر دائمًا صديقه على الحصول له على الوظيفة.,كان صديقه تشارلي يفتح فرصة في البار.,أحصل صديقه على وظيفة بيع أقل رواتب.,1
كان توم يسمع الموسيقى في الفصل.,لذلك لم يعرف توم أنهم لن يأخذه من المدرسة.,دخلت هاتفه الجوال، فاستجاب للتحديد.,لم يسمع توم الرسالة التي ألقاها له معلمه.,2
كان نيل محبا للموسيقى.,ظن نيل أن فيينا هي المدينة الأكثر موسيقا على الأرض!,عندما節د نيل أمواله، ذهب إلى النمسا.,سافر نيل إلى فيينا بسبب الفنون الجميلة.,1
كان إيد يصنع ويسكي في المنزل.,استخدم إيد عينة منه، قرر إيد أن ويسكي إيدي كان ممتازا!,كان ويسكي إيدي مشروب مفضله.,كان إيد يقلق بشأن كيف سيخرج.,2
أدركت سوزان أن قدميها كانتا ممتلئتين بشكل كبير.,بعد بضعة أيام أدركت أن التضخم في قدميها قد اختفى.,كانت سوزان حاملاً لستة أشهر.,ناقشت مع طبيبها وأعطته بعض النصائح.,1
كانت بيت قد تعرضت لعدة حالات لسعال شديد.,استمتعت بت الراحة والجليد في الفترة بينما كانت تنتظر.,أنهت بت في النهاية بجراحة لإزالة رجلها.,كانت بيت في النهاية قد أزيلت لها الغدد اللعابية.,2
كان تشارلي يصعد في سيارته الجديدة إلى بيت صديقه.,رفضه ذلك وآثر اتباع قوانين الشوارع مثل مالك سيارة مسؤول.,تحدى سائق آخره إلى سباق على السرعة.,رغب صديقه في تشارلي في التخلي عن السرعة ووصول لاحقا.,1
كانت كورنيليا تحب دائمًا العمل باليد.,قصّمت كورنيليا الطاولة إلى قطع لوقود النار.,كانت كورنيليا تحتاج إلى وقود النار لمنضدة النار.,كانت كورنيليا تحتاج إلى وقود النار ولكن انتهت من ذلك.,1
قام رجل ببناء بركة رغبات بجوار صندوقه البريدي.,دفع لوجبة كاملة بالتغيير.,ملأ التغيير برك برغبات.,ألقى كل شخص يمشي بجانبه قرشاً.,2
كان سام متحمسا، وأخيراً اليوم قد حان.,قرر سام أن يلجأ إلى طعام الزفاف كبديل.,كان سام على وشك أن يفقد طعم الزفاف.,حصل سام على أخبار مفادها أن طعم الزفاف قد أفسد.,2
أمر جو مجموعة غرفة أكل من الإنترنت لزوجته.,أخطأ جو في أمر الألعاب الخشبية بالخطأ!,لم يقرأ جو الموقع بشكل صحيح.,عندما فك جو البضائع أدرك أنها زاهية للغاية.,1
كان جاكوب يصعد إلى المنزل بعد العمل.,شعور جيد جداً يعرف أن مساعدته كانت محببة.,وقف ليعمل مساعدة لشخص يهدر إطارات سيارته.,وقف ليعمل مساعدة لشخص يصيب إطارات سيارته.,2
كانت آني حبيبتي في حفل تخرجنا من المدرسة الابتدائية.,فجأة قفزت عبر مقعد السيارة ووضعت كيسة على شفتي!,ليست آني من أفراد تفضيلي منذ الطفولة.,سافرت أنا آني إلى المنزل من الحفلة.,2
انضم روبي إلى فرقة جديدة.,سجلوا ألبومًا معًا.,أفسدوا العديد من الأغاني.,لروبي شريك في الفرقة.,2
كان توم يريد أن يأخذ شيلي على رحلة تاريخية.,بقيا يsit ويتفرجون على غروب الشمس معًا.,ذهب توم و شيلي إلى الشاطئ.,أخذ تومها إلى معسكر على قمة تل.,2
أحب ديف المخاطر.,أخذ ديف صورًا للشجر العالي.,كان الطقس جميلًا.,كان الطقس يرعد بشدة.,1
جيني أصبحت مريضة.,جيني بدأت تناولها تلك الليلة.,اشترت أمها لها بعض دواء السعال.,اشترت أمها لها بعض الحلوى.,1
كان جيريمي يحتاج إلى دراسة كبيرة في المدرسة.,فجأة، استيقظ معلمه و أجبره على إنهاء الاختبار.,أغمض جيريمي عينيه على مكتبه في المنزل أثناء دراسته.,كان جيريمي متعبًا للغاية حتى أغمض عينيه أثناء الاختبار!.,2
كانت تارا تريد أن تجدد غرفتها.,ذهبت إلى المنزل وجمعت وصبغت غرفتها باللون الأصفر (pink) بنفسها.,كانت تارا تريد غرفة أكثر راحة.,اشترت تارا الطلاء الأزرق الذي رأته في المتجر.,1
لم تملك أولي العديد من الحقائب، لكن كانت متعصبة للقليل التي لديها.,أشارت إلى حقيبتها القديمة، لكن بدأت في الحب من الحقيبة الجديدة بنفس القدر.,أعطتها أمها حقيبة جديدة للاحتفال بيوم ميلادها وأعطتها لآخر.,حسناً فقدت واحدة من حقيباتها وأشترت حقيبة جديدة.,2
دعاني رجل في وقت متأخر من بعد الظهر على هاتفي المنزل.,بعد بضع ثوانٍ استدعى مرة أخرى.,أخذت الهاتف، لكن الرجل لم يكن يتكلم الإنجليزية.,أنتحبه بعمق في الهاتف و قال كلمة غير لائقة.,2
كان توم مُرتاعًا في حفلة.,جعلته يقرر أخيراً أن يكون مُرتاعًا.,يُعتبر توم صادقًا عندما يكون مُرتاعًا.,انتهى به الأمر إلى الذهاب إلى كافيه.,1
كانت بيت ركوب دراجة في الحديقة بالقرب من بيتها.,والأم وأطفالها نظرتا إلى أعلى ثم استمروا في طريقهم.,رأت بيت أمًا تصرخ على أطفالها في عربة أطفال.,رأت بيت أم دجاجة وأطفالها.,2
أحب طوني الفن.,تم توظيف طوني على الفور ونجح.,تم اعتبار أعمال طوني فنية متميزة من قبل المتحف.,تم رفض طوني لمنصب في معرض للفنون.,1
جعلت شالًا دافئًا لأمّي.,الآن أصنع شالات لأفراد آخرين أيضًا.,لم تكن أمّي متعجبة.,أدهش الجميع من شال أمّي.,2
كانت أفي تريد الذهاب إلى الزواح.,كانوا يومًا رائعًا في الزواح!,رأت أفي جميع الحيوانات.,كان والد أفي قد لم يذهبوا إلى الزواح من قبل.,1
ارتفع ريان إلى أعلى الدرج الطويل لوصول إلى الممر المائي.,كان أكثر متعة مما كان ينتظره.,كان ريان خائفًا من الذهاب إلى الممر المائي.,أحب ريان الذهاب إلى الممر المائي.,1
TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,TRANSLATION_ERROR_LINE_COUNT_MISMATCH_FINAL,2
لا قابلت أمي الحقيقية أبداً.,أو إذا كان يجب أن أستمر في مهمتي حتى تصبح حقيقياً روحاً.,البحث عنها.,وجدت أمي، وقلت ل نفسي إذا كان يجب أن أعطوها إياها.,1
كان إيفان يملك قطًا واحدًا.,كان كل القطط سعداء للغاية!,فارق قط إيفان مسكنه.,adopted 2  cat Ivan.,2
تم سرقة بيت في الحي.,posted صورة تشارلز على إنستجرام مع أخيه.,كان تشارلز شرطياً.,كان تشارلز في المنزل عندما حدث ذلك وذهب إلى مكان الحادث.,2
قرر جيم أن يكون راقصاً صخرياً.,اشتركت جيم في دروس الجيتار.,لكن لم يعرف كيف يلعب آلة موسيقية.,علم جيم أنه سيتطلب من него أن يكون له لقب.,1
كان ستيف يريد أن يبدأ مشروعًا جديدًا.,أعطى ستيف 500 دولار مقابل الثعابين الثلاثة التي ألقاها.,كان ستيف غير خائف من الثعابين التي وجدها الناس في المنازل.,ألقى بعض الثعابين لشراءها.,1
